actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,rr,slow_ema,symbol,tcc,time,trend,ttf,volume,win
-3.8,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168117707,0,1.5,20,AUDUSD-T,50,13:00.7,3,M5,0.1,FALSE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168117708,0,2,20,AUDUSD-T,50,13:00.8,3,M5,0.1,FALSE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168118113,0,2.5,20,USDJPY-T,50,20:00.5,3,M5,0.18,FALSE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,5.86,8,FingerTrap,1168118114,0,1.5,20,USDJPY-T,50,20:00.6,3,M5,0.18,FALSE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,7.81,8,FingerTrap,1168118115,0,2,20,USDJPY-T,50,20:00.7,3,M5,0.18,FALSE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168118318,0,2.5,20,USDJPY-T,50,25:00.6,3,M5,0.18,FALSE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,5.86,8,FingerTrap,1168118321,0,1.5,20,USDJPY-T,50,25:00.7,3,M5,0.18,FALSE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,7.81,8,FingerTrap,1168118323,0,2,20,USDJPY-T,50,25:00.9,3,M5,0.18,FALSE
-4,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168119297,0,2.5,20,GBPUSD-T,50,42:00.3,3,M5,0.1,FALSE
-4,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168119298,0,1.5,20,GBPUSD-T,50,42:00.4,3,M5,0.1,FALSE
-4,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168119300,0,2,20,GBPUSD-T,50,42:00.5,3,M5,0.1,FALSE
-3.8,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168119985,0,2.5,20,NZDUSD-T,50,55:00.4,3,M5,0.05,FALSE
5.75,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168119986,0,1.5,20,NZDUSD-T,50,11:55:00,3,M5,0.05,TRUE
7.6,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168119990,0,2,20,NZDUSD-T,50,11:55:01,3,M5,0.05,TRUE
10,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168120213,0,2.5,20,GBPUSD-T,50,12:00:01,3,M5,0.1,TRUE
6,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168120214,0,1.5,20,GBPUSD-T,50,12:00:01,3,M5,0.1,TRUE
8,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168120215,0,2,20,GBPUSD-T,50,12:00:01,3,M5,0.1,TRUE
10.1,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168120498,0,2.5,20,GBPUSD-T,50,12:05:00,3,M5,0.1,TRUE
6,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168120505,0,1.5,20,GBPUSD-T,50,12:05:01,3,M5,0.1,TRUE
7.6,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168120510,0,2,20,GBPUSD-T,50,12:05:01,3,M5,0.1,TRUE
